               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10919,            0.032813,                   0,             0.43338,             0.49282,              0.4108,              0.1381,             0.08199,            0.035692,                   0,            0.070054,           0.0033274,           0.0033274
                   1,            0.087883,            0.033207,                   0,             0.70809,             0.59574,             0.62218,             0.23195,            0.074142,            0.034322,                   0,            0.039988,           0.0065948,           0.0065948
                   2,            0.082864,            0.032806,                   0,             0.76315,             0.67529,             0.70293,             0.29755,            0.069085,            0.033189,                   0,           0.0098558,           0.0097962,           0.0097962
                   3,             0.07678,            0.032326,                   0,             0.80952,             0.72245,             0.74129,             0.33083,            0.063997,            0.032339,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.072469,             0.03203,                   0,             0.82223,             0.72619,             0.75482,             0.33417,            0.063417,            0.032134,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.069125,            0.031982,                   0,              0.8321,             0.75452,             0.77009,             0.35992,            0.060481,            0.031406,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.067319,            0.031631,                   0,             0.82752,             0.74465,             0.76311,             0.35843,            0.060451,            0.031473,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.065224,             0.03118,                   0,             0.83621,             0.74455,             0.77421,               0.371,            0.059425,              0.0319,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.06389,            0.030907,                   0,             0.83739,             0.76511,             0.78242,             0.38162,            0.057982,            0.030985,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.062898,            0.030388,                   0,             0.85458,             0.78785,              0.8102,             0.39055,            0.057004,            0.030728,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.062028,            0.029925,                   0,             0.85643,             0.77819,             0.80734,             0.40061,            0.056726,            0.030572,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.061359,            0.030208,                   0,              0.8471,             0.77666,              0.8039,             0.39627,            0.056835,            0.031049,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.061059,            0.030012,                   0,             0.85469,             0.78972,             0.81067,             0.40083,            0.056334,            0.030874,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.060599,            0.030033,                   0,             0.84966,             0.77171,              0.8053,             0.38834,            0.058271,            0.031487,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.059997,            0.029784,                   0,              0.8509,             0.78422,             0.81923,             0.40503,            0.056209,            0.030865,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.059495,            0.029875,                   0,             0.84983,             0.79451,             0.81298,             0.39782,            0.056705,            0.030825,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.058782,            0.029557,                   0,             0.85737,             0.79522,             0.81569,             0.41364,            0.055414,            0.030076,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.058826,            0.029426,                   0,             0.84792,             0.79318,             0.81397,             0.40672,            0.055841,            0.030693,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.058381,             0.02944,                   0,             0.85818,             0.78868,             0.81396,             0.41383,            0.055326,            0.030299,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.058141,            0.029003,                   0,               0.856,             0.80059,             0.82316,             0.41238,             0.05538,            0.030229,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.057546,            0.029053,                   0,             0.84813,             0.80436,             0.81945,             0.41443,            0.054809,            0.030262,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.057306,            0.028974,                   0,             0.86149,             0.80799,             0.82933,             0.41997,            0.054696,            0.030172,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.056922,            0.028745,                   0,             0.85489,             0.79481,             0.81572,             0.41437,            0.054792,            0.030486,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.056682,            0.028999,                   0,             0.86261,             0.79802,             0.82013,             0.41796,            0.054779,            0.030347,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.056719,            0.028996,                   0,             0.86018,             0.78847,             0.81917,             0.41481,            0.055202,            0.032115,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.055671,            0.028426,                   0,             0.86626,             0.81454,             0.83863,             0.42879,            0.053879,            0.030208,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.055345,            0.028118,                   0,             0.85554,             0.79639,             0.82064,             0.40936,            0.055193,            0.030685,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.055345,            0.027934,                   0,             0.86778,             0.81032,             0.84022,             0.42923,            0.054046,            0.030164,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.055107,            0.027976,                   0,             0.86303,             0.80758,             0.82947,              0.4243,            0.054236,            0.030465,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.054889,            0.028186,                   0,             0.86195,             0.81629,             0.83278,             0.42972,             0.05391,            0.029999,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.054796,            0.028114,                   0,             0.86205,             0.81454,             0.83161,             0.43157,            0.053799,            0.030012,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.054671,            0.028039,                   0,             0.86272,             0.81038,             0.83058,             0.42769,            0.053922,            0.030385,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.054213,            0.028076,                   0,              0.8684,             0.81526,             0.83925,             0.43459,            0.053884,            0.030083,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.054157,            0.028324,                   0,             0.86164,             0.80582,             0.82217,             0.42552,             0.05409,            0.030101,                   0,            0.006832,            0.006832,            0.006832
